Task ID,Task,ONET code,Unique Code,RAI_Type,RAI_Code,Application_Grouping,Application_Grouping_Code,Hydropower_Application_Code,Hydropower Application,RAI Technology Detail,Primary Performer,Performer capability,PR,Supporter,Supporter role,SR,Automation,Requirement,Performance,Limitations,Citation,Publication Year,Input Job Title,ONET Title,Additional Occupation Titles
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,120.4.069,Machine Learning (ML),120,Intelligent Security and Condition Monitoring,4,069,"Monitor hydropower generator operation to detect and classify anomalous behavior in real time, producing context-aware alerts linked to known operating states",Supervised Learning (classification) and Unsupervised Learning (anomaly detection).,RAI,G,G,Human,O (pattern discovery and clustering support),O,7,Runtime access to live time-series and repository of trained AE models; soft voting module and HMI integration for alert visualization; modest compute for inference (CPU sufficient; GPU optional); uses existing SCADA/sensor infrastructure,Qualitative: proximity scores interpretable to operators; sensor-level errors enabled fine-grained attribution and post-mortem support; demonstrated timely contextualization amid seasonal and load variations; no numeric detection rates or precision/recall reported,Depends on previously labeled classes; unknown states require periodic re-embedding/clustering and model updates; limited ground truth constrains quantitative validation; seasonal drift and refurbishments/sensor changes necessitate recalibration; alert thresholding/calibration specifics not detailed,"Jad, S.; Desforges, X.; Medjaher, K.; Villard, P.-Y.; Caussidéry, C.",2025,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,300.4.014,Internet of Things (IoT),300,Intelligent Security and Condition Monitoring,4,014,"Collect, validate, and transmit real-time hydraulic and operational monitoring data from hydropower plant equipment and hydraulic structures at distributed locations to centralized platforms to support continuous condition and safety awareness.",Networked sensors and industrial data acquisition (IoT-like monitoring),RAI,G,G,Human,O,O,7,"Online temperature, vibration, and electrical sensors; PLCs; communication networks; SCADA interfaces",Enabled continuous visibility of operating variables previously measured intermittently; improved situational awareness for operators,"Effectiveness depends on sensor placement, calibration, and data reliability; not all components are instrumented","Leguizamon-Perilla, A.; Rodriguez-Bernal, J.S.; Moralez-Cruz, L.; Farfán-Martinez, N.I.; Nieto-Londoño, C.; Vásquez, R.E.; Escudero-Atehortua, A.",2023,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,200.4.014,Digital Twin,200,Intelligent Security and Condition Monitoring,4,014,"Collect, validate, and transmit real-time hydraulic and operational monitoring data from hydropower plant equipment and hydraulic structures at distributed locations to centralized platforms to support continuous condition and safety awareness.",IoT communication and data transmission,RAI,G,G,Human,R,R,9,Wireless communication modules; network gateways; centralized monitoring servers; data transmission protocols,Achieves real-time data aggregation from multiple monitoring locations,Communication reliability affected by network coverage and interference,"Machalski, A.; Szulc, P.; Blonski, D.; Nycz, A.; Nemś, M.; Skrzypacz, J.; Satława, Z.; Janik, P.",2025,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,122.2.076,Unsupervised ML,122,Equipment Fault Diagnosis and Predictive Maintenance,2,076,Monitor operating conditions of hydropower plant equipment to detect deviations from nominal behavior.,Unsupervised machine-learning-based condition monitoring using a self-organizing map (SOM)–derived key performance indicator (KPI),RAI,G,G,Human,Y(validation and response improve reliability),Y,8,Large-scale sensor networks (≈600 analog signals); SCADA data; SOM neural network; KPI computation and thresholding; online monitoring infrastructure,"Detected >20 anomalous situations over ~16 months; identified anomalies earlier than Hotelling T² charts, in one case by ~20 days",Requires extensive data preprocessing; KPI thresholds require operator feedback; not fully unsupervised,"Betti, A.; Crisostomi, E.; Paolinelli, G.; Piazzi, A.; Ruffini, F.; Tucci, M.",2021,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,100.4.071,Artificial Intelligence (AI),100,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"Data-driven condition monitoring using ANN, SOM, and fuzzy logic",RAI,G,G,Human,O/Y,O,8.5,"Plant-mounted sensors, SCADA or equivalent monitoring systems, historical operational data",Reviewed studies report improved identification of abnormal operating regimes and early degradation indicators compared with manual monitoring,Mostly indirect validation; limited availability of labeled fault data; thresholds often expert-defined,Jain et al. 2018; Selak et al. 2014; Betti et al. 2021; Li et al. 2018,2021,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,124.2.072,Artificial Neural Network (ANN),124,Equipment Fault Diagnosis and Predictive Maintenance,2,072,Monitor hydropower plant operating conditions to detect and classify abnormal equipment behavior for predictive maintenance.,Machine-learning-based anomaly detection and multi-class fault classification using supervised and recurrent models,RAI,G,G,Human,"Y (configuration, interpretation, and validation improve reliability)",Y,8,"SCADA time-series data; sensors on turbine, generator, and hydraulic power unit (18 variables incl. pressures, temperatures, voltages, currents, power); Python (Pandas, NumPy, TensorFlow); DNN and LSTM models",Feed-forward NN achieved ~70% accuracy overall; LSTM achieved >90% training accuracy and ~88% validation accuracy; near-perfect detection (~99%) for generator axial bearing temperature failures,Performance varies across fault types; class imbalance required oversampling; evaluated on a single plant and historical data,"Velasquez, V.; Flores Castro, W.",NA,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,120.4.071,Machine Learning (ML),120,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,Anomaly detection using statistical and AI-based monitoring techniques,RAI,O,O,Human,O (validation and response required),O,3,Time-series data; anomaly detection algorithms; monitoring dashboards,Enables identification of deviations from normal operating patterns (qualitative evidence),Requires baseline definition; limited generalization across plants,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,124.4.071,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"AI-based monitoring and control support (ANN, fuzzy logic controllers, SOM)",Human,G,G,RAI,G,G,1,"Sensors, SCADA systems, ANN/FLC controllers, monitoring dashboards","Reviewed applications indicate improved stability, early abnormality recognition, and better part-load operation",Monitoring often requires expert interpretation; limited autonomous fault handling,"Kumar, K.; Saini, R.P.",2021,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,400.4.102,Robotics,400,Intelligent Security and Condition Monitoring,4,102,Support emergency response and disaster recovery in power facilities by accessing hazardous or inaccessible areas.,Legged and mobile robots for rough-terrain navigation and sensing,Human,O/Y,O,RAI,O/Y,O,2,"Multi-legged robots, vision and terrain-sensing systems, remote control interfaces",Demonstrated ability to traverse rugged terrain and support inspection during disaster scenarios,Largely experimental; limited large-scale operational deployment,Shanghai Jiao Tong University projects 2015; Li et al. 2016,2016,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,300.4.098,Internet of Things (IoT),300,Intelligent Security and Condition Monitoring,4,098,Provide real-time equipment condition data to remote control centers to support off-site supervision of hydropower plant operations.,Connected monitoring and remote-access systems (IoT-like supervisory connectivity),Human,G,G,RAI,G,G,1,"Plant monitoring systems, communication infrastructure, centralized SCADA/control centers",NA,"Effectiveness depends on network robustness, cybersecurity, and operator training
","Leguizamon-Perilla, A.; Rodriguez-Bernal, J.S.; Moralez-Cruz, L.; Farfán-Martinez, N.I.; Nieto-Londoño, C.; Vásquez, R.E.; Escudero-Atehortua, A.",2023,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,124.2.007,LLM,124,Equipment Fault Diagnosis and Predictive Maintenance,2,007,Assist early warning and prediction tasks by analyzing operational data and producing natural-language interpretations of predicted equipment behavior.,LLM-assisted data interpretation combined with domain-specific prediction outputs,RAI,O,O,Human,Y (interpretation improves reliability),Y,4,"Integration with operational datasets; prompt-based data injection; prediction outputs (e.g., bearing temperature forecasts)",Predicted thrust-bearing temperature closely matched measured values in test case (small deviation shown in Fig. 3),Prediction quality depends on upstream models; LLM itself does not perform numerical prediction,"Zhu, Jia; Zhang, Leifang; Lu, Jianxiong; Wu, Xuelu; Wei, Caiyun",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,200.4.016,Digital Twins,200,Intelligent Security and Condition Monitoring,4,016,Continuously monitor hydraulic structure operating conditions to identify abnormal measurements using predefined rules.,Rule-based monitoring and threshold evaluation,RAI,G,G,Human,Y (review abnormality context),Y,8,Central monitoring software; predefined safety thresholds; data processing modules,Supports automated detection of abnormal parameter values,Relies on predefined thresholds; limited ability to detect novel or complex failure modes,"Machalski, A.; Szulc, P.; Blonski, D.; Nycz, A.; Nemś, M.; Skrzypacz, J.; Satława, Z.; Janik, P.",2025,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,300.4.057,Internet of Things (IoT),300,Intelligent Security and Condition Monitoring,4,057,Integrate and manage hydraulic safety monitoring data to support centralized supervision and management.,"Cloud-supported data platform for storage, visualization, and reporting",Human,G,G,RAI,G,G,1,Cloud computing infrastructure; data platform; SCADA integration; micro-service architecture,Enabled centralized supervision across multiple monitoring sections and remote access via web/mobile,Cybersecurity and interoperability require ongoing management,"Ma, W.; Jin, H.; Pan, Z.; Ling, Q.; Deng, J.",2021,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,100.2.021,Artificial Intelligence (AI),100,Equipment Fault Diagnosis and Predictive Maintenance,2,021,Detect operating conditions consistent with equipment faults in hydropower plants to support timely maintenance response.,Unsupervised machine-learning–based fault and anomaly detection combined with multivariate statistical monitoring,RAI,G,G,Human,O (expert validation required before action),O,7,"• Plant-mounted sensors measuring vibration, bearing metal temperature, bearing oil temperature, and active power
• Data acquisition and monitoring systems (e.g., SCADA or equivalent)
• Computing environment for continuous or periodic data analytics and model inference","• Successfully identified fault periods in two real hydropower plants using operational data
• Fault indicators exceeded control limits during known fault events, aligning with manually recorded maintenance logs
• In some cases, abnormal conditions were detected hours before manual fault recognition","• Validation limited to two plants and a relatively short observation period
• Requires representative nominal (fault-free) data for training
• Does not identify physical root causes or specific faulty components
• Final fault confirmation and maintenance decisions remain human-driven","Hajimohammadali, F.; Fontana, N.; Tucci, M.; Crisostomi, E.",2023,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,124.4.070,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,070,Monitor hydropower plant assets to identify abnormal operating conditions and deviations from expected performance.,"Condition-Based Monitoring (CBM) using statistical, AI, and hybrid analytics",RAI,O,O,Human,O,O,3,"Vibration, temperature, pressure, electrical sensors; DAQ systems; SCADA integration",Many studies report anomaly detection accuracy >90% for specific components,"Effectiveness depends on sensor coverage, data quality, and operating regime",Lei et al. (2018); Jardine et al. (2006); Tidriri et al. (2016),2018,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,120.1.019,Machine Learning (ML),120,Energy Management and Market-Oriented Optimization,1,019,Detect deviations from expected plant efficiency and identify inefficient operating conditions.,Data-driven efficiency analysis software (HydEA),RAI,G,G,Human,Y,Y,8,Plant operating data; analytics platform; performance reference models,Annual production increase of ~1.2% without new infrastructure,Relies on availability of high-quality historical and real-time data,"Quaranta, E.et al.",2020,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M167,Regulate real-time plant operations during unforeseen events or emergencies based on established procedures and experience.,51-8013.00,200.4.113,Digital Twins,200,Intelligent Security and Condition Monitoring,4,113,Support remote supervision of hydraulic safety conditions through centralized monitoring platforms.,Remote supervisory control and visualization,Human,O,O,RAI,O,O,3,Centralized monitoring dashboards; visualization interfaces; historical data storage,Improves situational awareness and decision support for operators,Does not replace on-site inspection or expert judgment,"Machalski, A.; Szulc, P.; Blonski, D.; Nycz, A.; Nemś, M.; Skrzypacz, J.; Satława, Z.; Janik, P.",2025,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
M166,"Record post-maintenance details, including materials used, procedures performed, costs, and staff time, into the CMMS to maintain accurate maintenance history.",15-1211.00,300.2.013,Internet of Things (IoT),300,Equipment Fault Diagnosis and Predictive Maintenance,2,013,Collect and log structural and operational data to support maintenance planning and asset management.,Digital data acquisition and asset information management systems,Human,G,G,RAI,G (automation improves efficiency and consistency),G,1,Structural sensors; operational logs; databases; asset management software,Improves traceability and availability of asset condition information,Does not itself diagnose faults; value depends on data governance and integration,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Computerized Maintenance Management System Specialist,Computer Systems Analysts,Computerized Maintenance Management System Specialist
M166,"Record post-maintenance details, including materials used, procedures performed, costs, and staff time, into the CMMS to maintain accurate maintenance history.",15-1211.00,120.2.058,Machine Learning (ML),120,Equipment Fault Diagnosis and Predictive Maintenance,2,058,"Integrate asset monitoring, diagnostics, and maintenance information across operational systems.","Cyber-physical APM architectures (OSA-CBM, MIMOSA, MIDA)",Human,G,G,RAI,O,O,2,"SCADA, CMMS, ERP integration; interoperability standards",Improved information consistency and coordination reported qualitatively,High integration cost; cybersecurity and interoperability challenges,ISO 13374; MIMOSA (OSA-CBM); Lee et al. (2014),2014,Computerized Maintenance Management System Specialist,Computer Systems Analysts,Computerized Maintenance Management System Specialist
M165,Record materials moved and destinations in operation logs or tracking systems.,53-7021.00,300.2.013,Internet of Things (IoT),300,Equipment Fault Diagnosis and Predictive Maintenance,2,013,Collect and log structural and operational data to support maintenance planning and asset management.,Digital data acquisition and asset information management systems,Human,G,G,RAI,G (automation improves efficiency and consistency),G,1,Structural sensors; operational logs; databases; asset management software,Improves traceability and availability of asset condition information,Does not itself diagnose faults; value depends on data governance and integration,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Crane and Tower Operator,Crane and Tower Operators,Crane and Tower Operator
M164,Recommend security enhancements and technology upgrades to management or senior IT staff based on assessments and monitoring results.,15-1212.00,120.2.112,Machine Learning (ML),120,Equipment Fault Diagnosis and Predictive Maintenance,2,112,Support remote maintenance planning and intervention prioritization through centralized monitoring and diagnostics.,Remote e-maintenance architecture integrating local SCADA with global cloud analytics,Human,G,G,RAI,G(scalability and early warning),G,1,Distributed sensor networks; operational network; cloud infrastructure; centralized dashboards for multi-site monitoring,Case study reports reduced downtime and avoided breakdowns through early detection,Not a closed-loop control system; cybersecurity and data governance remain ongoing concerns,"Cortés Sanchéz, G.; Rodríguez Gómez, G.; Guevara Pabon, E.; Fontani, T.; Duran-Tovar, I.; Benavides-Navarro, L.; Marulanda-Guerra, A.",2024,Cyber Security Specialist,Information Security Analysts,Cyber Security Specialist
M163,"Recommend operational changes and remediation techniques to protect water quality, wildlife, and other water-related resources at hydropower projects.",13-1041.07,124.1.039,Artificial Neural Network (ANN),124,Energy Management and Market-Oriented Optimization,1,039,"Evaluate feasibility, site suitability, and investment risk for hydropower projects.",AI-based decision support using ANN and fuzzy-logic multi-criteria analysis,Human,G,G,RAI,G,G,1,"Project cost data, hydrological data, socio-environmental indicators; ANN/FLC models",Reported studies show improved prioritization and risk assessment versus traditional scoring methods,Highly context-dependent; results not easily transferable across regions,"Kumar, K.; Saini, R.P.",2021,Regulatory Compliance Specialist,Regulatory Affairs Specialists,Regulatory Compliance Specialist
M163,"Recommend operational changes and remediation techniques to protect water quality, wildlife, and other water-related resources at hydropower projects.",13-1041.07,124.3.092,Artificial Neural Network (ANN),124,Hydrological Forecasting and Water-Resource Scheduling,3,092,"Predict hydrological inflow, discharge, or sediment loading to support hydropower operation and planning.","Supervised ML and neuro-fuzzy systems (ANN, ANFIS)",RAI,G,G,Human,O/Y,O,8.5,"Hydrological time-series data, watershed or reservoir monitoring data, computing environment for regression and inference","ANN and ANFIS models consistently outperform empirical and regression models, with correlation values reported up to ≈0.96",Performance sensitive to hydro-climatic variability; limited transferability across basins without retraining,Kisi 2010; Tayfur et al. 2014; Nourani et al. 2012; Wu et al. 2019,2019,Regulatory Compliance Specialist,Regulatory Affairs Specialists,Regulatory Compliance Specialist
M163,"Recommend operational changes and remediation techniques to protect water quality, wildlife, and other water-related resources at hydropower projects.",13-1041.07,121.3.006,Linear Regression,121,Hydrological Forecasting and Water-Resource Scheduling,3,006,assess current and future water availability for hydropower generation,Linear regression (with moving-window concept described in the review) to assess water availability via annual streamflow trends.,Human,G/Y,G,RAI,G/Y,G,2,Annual flow (32 years).,NA,NA,"M. Stojković, S. Kostić, S. Prohaska, J. Plavšić, and V. Tripković, “A New Approach for Trend Assessment of Annual Streamflows: a Case Study of Hydropower Plants in Serbia,” Water Resour. Manag., vol. 31, no. 4, pp. 1089–1103, 2017.",2017,Regulatory Compliance Specialist,Regulatory Affairs Specialists,Regulatory Compliance Specialist
M163,"Recommend operational changes and remediation techniques to protect water quality, wildlife, and other water-related resources at hydropower projects.",13-1041.07,100.4.064,Artificial Intelligence (AI),100,Intelligent Security and Condition Monitoring,4,064,Monitor environmental conditions in hydropower facilities using biological indicators.,Environmental DNA (eDNA)–based monitoring integrated with digital data analysis,Human,G,G,RAI,G (efficiency in data processing and interpretation),G,1,Water sampling systems; molecular analysis (eDNA); data-processing and interpretation tools,Enables detection of species presence without visual observation (qualitative evidence),Requires laboratory processing; not real-time; interpretation depends on sampling design,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Regulatory Compliance Specialist,Regulatory Affairs Specialists,Regulatory Compliance Specialist
M163,"Recommend operational changes and remediation techniques to protect water quality, wildlife, and other water-related resources at hydropower projects.",13-1041.07,124.4.071,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"AI-based monitoring and control support (ANN, fuzzy logic controllers, SOM)",Human,G,G,RAI,G,G,1,"Sensors, SCADA systems, ANN/FLC controllers, monitoring dashboards","Reviewed applications indicate improved stability, early abnormality recognition, and better part-load operation",Monitoring often requires expert interpretation; limited autonomous fault handling,"Kumar, K.; Saini, R.P.",2021,Regulatory Compliance Specialist,Regulatory Affairs Specialists,Regulatory Compliance Specialist
M163,"Recommend operational changes and remediation techniques to protect water quality, wildlife, and other water-related resources at hydropower projects.",13-1041.07,100.3.024,Artificial Intelligence (AI),100,Hydrological Forecasting and Water-Resource Scheduling,3,024,Develop and generate long-term hydropower production schedules by learning water-release policies that balance electricity revenue and reservoir storage under uncertain inflow and market conditions.,Deep reinforcement learning–based scheduling using continuous-action policies (Soft Actor–Critic),RAI,G,G,Human,"Y (problem formulation, validation, and interpretation improve reliability)",Y,8,Soft Actor–Critic neural networks; Python/PyTorch implementation; historical inflow and electricity price data; simulated reservoir environment; CPU-based training setup,Learned stable long-term release policies that adapt to seasonal inflow and price patterns; produced coherent annual schedules and outperformed naïve baselines in cumulative reward,Not validated for real-time operations; simplified reservoir and market assumptions; sensitive to reward formulation and training data; limited interpretability,"Riemer-Sørensen, S.; Rosenlund, G.H.",2020,Regulatory Compliance Specialist,Regulatory Affairs Specialists,Regulatory Compliance Specialist
M163,"Recommend operational changes and remediation techniques to protect water quality, wildlife, and other water-related resources at hydropower projects.",13-1041.07,100.4.071,Artificial Intelligence (AI),100,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"Data-driven condition monitoring using ANN, SOM, and fuzzy logic",RAI,G,G,Human,O/Y,O,8.5,"Plant-mounted sensors, SCADA or equivalent monitoring systems, historical operational data",Reviewed studies report improved identification of abnormal operating regimes and early degradation indicators compared with manual monitoring,Mostly indirect validation; limited availability of labeled fault data; thresholds often expert-defined,Jain et al. 2018; Selak et al. 2014; Betti et al. 2021; Li et al. 2018,2021,Regulatory Compliance Specialist,Regulatory Affairs Specialists,Regulatory Compliance Specialist
M163,"Recommend operational changes and remediation techniques to protect water quality, wildlife, and other water-related resources at hydropower projects.",13-1041.07,100.3.114,Artificial Intelligence (AI),100,Hydrological Forecasting and Water-Resource Scheduling,3,114,Support reservoir operation and spillway control to maintain safe and efficient hydropower generation.,Fuzzy logic–based decision support and control,Human,O/Y,O,RAI,O/Y,O,2,"Reservoir level sensors, gate control systems, monitoring and control software",Fuzzy-based controllers demonstrate reasonable predictive accuracy and operational stability in reservoir control problems,Rule design and tuning require expert knowledge; performance depends on quality of input signals,Chang and Chang 2001; Reddy and Kumar 2010; Mousavi et al. 2017,2017,Regulatory Compliance Specialist,Regulatory Affairs Specialists,Regulatory Compliance Specialist
M162,"Receive and interpret hand signals or radio instructions from ground crews to coordinate lifting, moving, or placing loads.",53-7021.00,430.4.152,Crawler,430,Intelligent Security and Condition Monitoring,4,152,"Safety and emergency operations (E-stop, audio/visual signals)",NA,RAI,G,G,Human,G,G,8,NA,NA,NA,NA,NA,Crane and Tower Operator,Crane and Tower Operators,Crane and Tower Operator
M158,Protect the rights and well-being of communities and the environment impacted by hydropower development.¬†,23-1011.00,121.3.006,Linear Regression,121,Hydrological Forecasting and Water-Resource Scheduling,3,006,assess current and future water availability for hydropower generation,Linear regression (with moving-window concept described in the review) to assess water availability via annual streamflow trends.,Human,G/Y,G,RAI,G/Y,G,2,Annual flow (32 years).,NA,NA,"M. Stojković, S. Kostić, S. Prohaska, J. Plavšić, and V. Tripković, “A New Approach for Trend Assessment of Annual Streamflows: a Case Study of Hydropower Plants in Serbia,” Water Resour. Manag., vol. 31, no. 4, pp. 1089–1103, 2017.",2017,Lawyer,Lawyers,Lawyer
M158,Protect the rights and well-being of communities and the environment impacted by hydropower development.¬†,23-1011.00,100.4.064,Artificial Intelligence (AI),100,Intelligent Security and Condition Monitoring,4,064,Monitor environmental conditions in hydropower facilities using biological indicators.,Environmental DNA (eDNA)–based monitoring integrated with digital data analysis,Human,G,G,RAI,G (efficiency in data processing and interpretation),G,1,Water sampling systems; molecular analysis (eDNA); data-processing and interpretation tools,Enables detection of species presence without visual observation (qualitative evidence),Requires laboratory processing; not real-time; interpretation depends on sampling design,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Lawyer,Lawyers,Lawyer
M157,"Program and configure instrumentation and control devices (e.g., PLCs, HMIs, RTUs, transmitters) according to specifications and operational requirements.",49-2094.00,300.4.014,Internet of Things (IoT),300,Intelligent Security and Condition Monitoring,4,014,"Collect, validate, and transmit real-time hydraulic and operational monitoring data from hydropower plant equipment and hydraulic structures at distributed locations to centralized platforms to support continuous condition and safety awareness.",Networked sensors and industrial data acquisition (IoT-like monitoring),RAI,G,G,Human,O,O,7,"Online temperature, vibration, and electrical sensors; PLCs; communication networks; SCADA interfaces",Enabled continuous visibility of operating variables previously measured intermittently; improved situational awareness for operators,"Effectiveness depends on sensor placement, calibration, and data reliability; not all components are instrumented","Leguizamon-Perilla, A.; Rodriguez-Bernal, J.S.; Moralez-Cruz, L.; Farfán-Martinez, N.I.; Nieto-Londoño, C.; Vásquez, R.E.; Escudero-Atehortua, A.",2023,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
M157,"Program and configure instrumentation and control devices (e.g., PLCs, HMIs, RTUs, transmitters) according to specifications and operational requirements.",49-2094.00,200.4.014,Digital Twin,200,Intelligent Security and Condition Monitoring,4,014,"Collect, validate, and transmit real-time hydraulic and operational monitoring data from hydropower plant equipment and hydraulic structures at distributed locations to centralized platforms to support continuous condition and safety awareness.",IoT communication and data transmission,RAI,G,G,Human,R,R,9,Wireless communication modules; network gateways; centralized monitoring servers; data transmission protocols,Achieves real-time data aggregation from multiple monitoring locations,Communication reliability affected by network coverage and interference,"Machalski, A.; Szulc, P.; Blonski, D.; Nycz, A.; Nemś, M.; Skrzypacz, J.; Satława, Z.; Janik, P.",2025,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
M157,"Program and configure instrumentation and control devices (e.g., PLCs, HMIs, RTUs, transmitters) according to specifications and operational requirements.",49-2094.00,122.2.076,Unsupervised ML,122,Equipment Fault Diagnosis and Predictive Maintenance,2,076,Monitor operating conditions of hydropower plant equipment to detect deviations from nominal behavior.,Unsupervised machine-learning-based condition monitoring using a self-organizing map (SOM)–derived key performance indicator (KPI),RAI,G,G,Human,Y(validation and response improve reliability),Y,8,Large-scale sensor networks (≈600 analog signals); SCADA data; SOM neural network; KPI computation and thresholding; online monitoring infrastructure,"Detected >20 anomalous situations over ~16 months; identified anomalies earlier than Hotelling T² charts, in one case by ~20 days",Requires extensive data preprocessing; KPI thresholds require operator feedback; not fully unsupervised,"Betti, A.; Crisostomi, E.; Paolinelli, G.; Piazzi, A.; Ruffini, F.; Tucci, M.",2021,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
M154,"Prepare technical reports detailing test procedures, results, calibrations, and corrective actions.",49-2094.00,124.2.103,LLM,124,Equipment Fault Diagnosis and Predictive Maintenance,2,103,"Support equipment operation and maintenance by generating explanations, reports, and responses based on hydropower operational data and documentation.","Natural-language generation for report writing, documentation support, and intelligent recommendation",Human,G,G,RAI,G (efficiency and consistency),G,1,"LLM fine-tuned on enterprise technical specifications, operation manuals, and management regulations","Demonstrated ability to generate reports, explanations, and responses aligned with hydropower domain knowledge",Generated content requires human review; no direct linkage to physical system control,"Zhu, Jia; Zhang, Leifang; Lu, Jianxiong; Wu, Xuelu; Wei, Caiyun",2024,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
M154,"Prepare technical reports detailing test procedures, results, calibrations, and corrective actions.",49-2094.00,420.2.199,ROV,420,Equipment Fault Diagnosis and Predictive Maintenance,2,199,Report generation and digital workflow,NA,RAI,G,G,Human,G,G,8,NA,NA,NA,NA,NA,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
M154,"Prepare technical reports detailing test procedures, results, calibrations, and corrective actions.",49-2094.00,430.2.141,Crawler,430,Equipment Fault Diagnosis and Predictive Maintenance,2,141,Post‑mission reporting and anomaly tagging,NA,RAI,O,O,Human,G,G,4,NA,NA,NA,NA,NA,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
